"Sample_Name","Sanger_Lane_ID_raw","Cleaned_fastq_id","SRR/ENA_Accession","Species","Sample_Year","Citation","Sequencing_Method","Sample_Type","Geo_Country","Continent","TPA_Lineage","Beale2021.TPA.sublineages","TPA.TPE.scheme","Reads_or_assemblies","Proportion-N_>5_mapping+masking_Nichols","Assembly_Length_(total)","Assembly_#_contigs","Assembly_N50","Assembly_ref-sites_%","CheckM-completeness","CheckM-contamination"
"PHE140105A","27455_7#9","27455_7#9.Treponema.ds2500000-reads","ERR3684702","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.126249",1148423,469,3415,100.771300936354,"95.83","7.84"
"PHE150110A","27455_3#10","27455_3#10.Treponema.ds2500000-reads","ERR3684528","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.1404299999999998E-2",1135536,82,26234,99.6404983007688,"99.97","0"
"PHE150113A","27455_5#8","27455_5#8.Treponema.ds2500000-reads","ERR3684616","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.10097200000000001",1146791,384,4479,100.62809693998,"98.36","4.09"
"PHE150114A","27455_2#6","27455_2#6.Treponema.ds2500000-reads","ERR3684487","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","8","8","reads","7.7687300000000001E-2",1148022,303,5705,100.736114170088,"97.96","5.35"
"PHE150118A","29007_3#3","29007_3#3.Treponema.ds2500000-reads","ERR4045385","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.158524",1145622,403,4228,100.525520057773,"97.96","3.26"
"PHE150119A","27455_5#10","27455_5#10.Treponema.ds2500000-reads","ERR3684618","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.6445599999999997E-2",1134144,73,35432,99.518353715626,"99.19","1.24"
"PHE150121A","27455_1#4","27455_1#4.Treponema.ds2500000-reads","ERR3684453","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","3.8827E-2",1128242,19,298859,99.0004676944244,"100","0"
"PHE150122A","27455_5#11","27455_5#11.Treponema.ds2500000-reads","ERR3684619","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.62517E-2",1134029,67,35180,99.5082627477442,"100","0.75"
"PHE150123A","27455_7#10","27455_7#10.Treponema.ds2276873-reads","ERR3684703","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.211233",1130952,624,2359,99.2382635462469,"96.16","10.39"
"PHE150125A","27455_8#9","27455_8#9.Treponema.ds2348135-reads","ERR3684746","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.16539999999999999",1122440,671,2167,98.4913564279027,"93.88","10.02"
"PHE150126A","27455_2#8","27455_2#8.Treponema.ds2500000-reads","ERR3684489","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7009599999999997E-2",1133358,16,175096,99.4493841438428,"100","0"
"PHE150129A","27847_1#8","27847_1#8.Treponema.ds2500000-reads","ERR3811631","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","2","2","reads","0.23169500000000001",1105506,643,2242,97.005439470426,"94.33","6.26"
"PHE150130A","27455_4#11","27455_4#11.Treponema.ds2500000-reads","ERR3684574","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.9015599999999998E-2",1129579,28,138444,99.1177861644933,"100","0.81"
"PHE150131A","27455_4#12","27455_4#12.Treponema.ds2500000-reads","ERR3684575","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.0841799999999998E-2",1131598,47,47898,99.2949484614784,"99.97","0.81"
"PHE150133A","27455_2#9","27455_2#9.Treponema.ds2500000-reads","ERR3684490","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","5.1451900000000002E-2",1135544,92,24095,99.6412002811431,"100","2.42"
"PHE150136A","27614_2#15","27614_2#15.Treponema.ds1785277-reads","ERR3699570","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.20710600000000001",1136543,511,2982,99.7288600803943,"97.15","9.66"
"PHE150137A","27455_4#13","27455_4#13.Treponema.ds2500000-reads","ERR3684576","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","2","2","reads","3.7739700000000001E-2",1133284,17,170634,99.4428908253797,"100","0"
"PHE150138A","27455_4#14","27455_4#14.Treponema.ds2500000-reads","ERR3684577","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.9819399999999998E-2",1130489,40,43543,99.1976364320794,"100","0.4"
"PHE150143A","29007_3#16","29007_3#16.Treponema.ds2500000-reads","ERR4045395","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","7.1470000000000006E-2",1145686,194,10549,100.531135900768,"97.55","0.3"
"PHE150145A","27455_1#5","27455_1#5.Treponema.ds2500000-reads","ERR3684454","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","3.9959000000000001E-2",1129371,25,97748,99.0995346747593,"100","0"
"PHE150148A","27455_3#12","27455_3#12.Treponema.ds2500000-reads","ERR3684530","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7045599999999998E-2",1137850,17,598864,99.8435461240592,"100","0"
"PHE150149A","27455_2#10","27455_2#10.Treponema.ds2500000-reads","ERR3684491","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","5.4685600000000001E-2",1138322,112,17219,99.8849629661479,"98.79","0.27"
"PHE150150A","27455_1#6","27455_1#6.Treponema.ds1998946-reads","ERR3684455","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.105048",1146978,406,4246,100.644505731231,"99.97","7.83"
"PHE150151A","27455_8#11","27455_8#11.Treponema.ds1992819-reads","ERR3684748","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.17307",1129411,593,2516,99.1030445766312,"98.66","8.1999999999999993"
"PHE150153A","27455_4#17","27455_4#17.Treponema.ds2500000-reads","ERR3684580","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.1376200000000002E-2",1135310,74,34593,99.6206673551924,"100","1.21"
"PHE150154A","27455_4#18","27455_4#18.Treponema.ds2500000-reads","ERR3684581","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.101329",1156777,517,3251,101.504343942304,"97.24","7.32"
"PHE150155A","27455_6#14","27455_6#14.Treponema.ds2247594-reads","ERR3684665","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.148032",1133526,620,2302,99.4641257317049,"93.93","8.19"
"PHE150158A","27455_8#12","27455_8#12.Treponema.ds1814051-reads","ERR3684749","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.217224",1096201,689,1971,96.188948547471,"92.74","14.33"
"PHE150159A","27455_6#15","27455_6#15.Treponema.ds2500000-reads","ERR3684666","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.0398500000000003E-2",1130555,140,16067,99.2034277701681,"99.17","2.76"
"PHE150160A","27455_4#19","27455_4#19.Treponema.ds2500000-reads","ERR3684582","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.8628599999999999E-2",1134539,27,110926,99.5530139966112,"100","0"
"PHE150161A","27455_5#12","27455_5#12.Treponema.ds2500000-reads","ERR3684620","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","5.4997999999999998E-2",1139783,146,12661,100.01316213202,"100","1.8"
"PHE150162A","27455_2#11","27455_2#11.Treponema.ds2252752-reads","ERR3684492","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","7.3832300000000003E-2",1142248,195,11092,100.229459834877,"99.17","1.98"
"PHE150163A","27455_4#20","27455_4#20.Treponema.ds2500000-reads","ERR3684583","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","5.9303099999999997E-2",1145811,213,8086,100.542104344118,"97.55","2.82"
"PHE150164A","27455_7#13","27455_7#13.Treponema.ds2500000-reads","ERR3684706","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","9.3732800000000005E-2",1151003,316,5525,100.997689607093,"98.36","7.07"
"PHE150166A","27455_2#12","27455_2#12.Treponema.ds1988448-reads","ERR3684493","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","9.0708899999999995E-2",1144439,238,8357,100.421714709911,"99.57","1.77"
"PHE150168A","27455_8#13","27455_8#13.Treponema.ds2147530-reads","ERR3684750","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.18124899999999999",1121413,716,1877,98.4012396973412,"94.79","12.71"
"PHE150170A","27455_2#13","27455_2#13.Treponema.ds1801457-reads","ERR3684494","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.141262",1143246,364,4449,100.317031886581,"96.75","4.09"
"PHE150173A","27455_6#16","27455_6#16.Treponema.ds1729631-reads","ERR3684667","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.24912100000000001",1117111,731,1832,98.0237497510163,"94.28","9.1199999999999992"
"PHE150175A","27455_5#14","27455_5#14.Treponema.ds2500000-reads","ERR3684622","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.149474",1141757,601,2510,100.186375789399,"97.98","9.11"
"PHE150177A","27455_3#13","27455_3#13.Treponema.ds2500000-reads","ERR3684531","TPA","2015","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","2","2","reads","4.3010100000000002E-2",1132688,57,37974,99.3905932874882,"100","0"
"PHE160184A","27455_6#18","27455_6#18.Treponema.ds2500000-reads","ERR3684669","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","9.04895E-2",1151860,354,4383,101.072889254699,"97.69","6"
"PHE160189A","27455_5#15","27455_5#15.Treponema.ds2500000-reads","ERR3684623","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","6.1905000000000002E-2",1143666,179,9957,100.353885856236,"99.97","3.49"
"PHE160190A","27455_1#7","27455_1#7.Treponema.ds2500000-reads","ERR3684456","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.6999999999999998E-2",1138002,19,208974,99.8568837511725,"100","0"
"PHE160196A","27455_1#8","27455_1#8.Treponema.ds2500000-reads","ERR3684457","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","4.0165199999999998E-2",1133326,29,94872,99.4465762223453,"100","0"
"PHE160197A","27455_4#21","27455_4#21.Treponema.ds2500000-reads","ERR3684584","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.3028499999999997E-2",1131711,47,56650,99.3048639342666,"99.19","0.16"
"PHE160198A","27455_3#15","27455_3#15.Treponema.ds2500000-reads","ERR3684533","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7759899999999999E-2",1133402,15,175149,99.4532450359019,"99.19","0"
"PHE160199A","27455_5#16","27455_5#16.Treponema.ds2500000-reads","ERR3684624","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","9.9858799999999998E-2",1156485,458,3771,101.478721658639,"97.96","9.1999999999999993"
"PHE160203A","27455_2#14","27455_2#14.Treponema.ds2500000-reads","ERR3684495","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.9963400000000003E-2",1135029,31,118838,99.5960102945422,"100","0.27"
"PHE160211A","27455_3#16","27455_3#16.Treponema.ds2500000-reads","ERR3684534","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.8420700000000002E-2",1133922,19,202066,99.4988737602368,"100","0"
"PHE160214A","27455_2#16","27455_2#16.Treponema.ds2500000-reads","ERR3684497","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7192999999999997E-2",1133599,16,173018,99.4705313026211,"100","0"
"PHE160215A","27455_4#22","27455_4#22.Treponema.ds2500000-reads","ERR3684585","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.1332199999999998E-2",1151237,335,5286,101.018222533044,"96.34","4.84"
"PHE160216A","27455_6#20","27455_6#20.Treponema.ds1994172-reads","ERR3684671","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.198991",1124510,787,1734,98.6729938497744,"94.19","7.36"
"PHE160217A","27455_3#17","27455_3#17.Treponema.ds2500000-reads","ERR3684535","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7616900000000002E-2",1132898,15,208973,99.4090202723157,"100","0"
"PHE160224A","27455_1#9","27455_1#9.Treponema.ds2500000-reads","ERR3684458","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","3.9678199999999997E-2",1133527,23,164957,99.4642134792517,"100","0"
"PHE160227A","27455_6#22","27455_6#22.Treponema.ds2091548-reads","ERR3684673","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.18620600000000001",1129018,672,2078,99.0685597907397,"94.15","8.3000000000000007"
"PHE160234A","27455_4#24","27455_4#24.Treponema.ds2500000-reads","ERR3684587","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.104018",1149959,485,3345,100.906081168236,"97.55","8.39"
"PHE160238A","27455_5#18","27455_5#18.Treponema.ds2500000-reads","ERR3684626","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","5.4250300000000001E-2",1148734,162,13672,100.798590423408,"98.36","3.52"
"PHE160239A","27455_3#19","27455_3#19.Treponema.ds2500000-reads","ERR3684537","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.9388600000000003E-2",1131952,42,64758,99.3260110930449,"100","0"
"PHE160240A","27455_2#17","27455_2#17.Treponema.ds2500000-reads","ERR3684498","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.58287E-2",1133184,70,32409,99.4341160707,"99.17","1.61"
"PHE160242A","27455_7#20","27455_7#20.Treponema.ds2500000-reads","ERR3684713","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.21632799999999999",1109664,785,1646,97.3702937700119,"94.37","10.68"
"PHE160243A","27455_1#10","27455_1#10.Treponema.ds2500000-reads","ERR3684459","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","5.4083600000000003E-2",1140061,141,14053,100.03755595003,"99.97","2.27"
"PHE160245A","27455_5#20","27455_5#20.Treponema.ds2500000-reads","ERR3684628","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.13439899999999999",1146795,474,3403,100.628447930167,"98.36","10.220000000000001"
"PHE160246A","29007_3#4","29007_3#4.Treponema.ds2500000-reads","ERR4045386","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.10920299999999999",1146228,298,6221,100.578695071133,"98.36","2.9"
"PHE160247A","27455_4#25","27455_4#25.Treponema.ds2500000-reads","ERR3684588","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.2798600000000005E-2",1155204,379,4690,101.366317051191,"99.05","5.95"
"PHE160248A","27455_5#22","27455_5#22.Treponema.ds2500000-reads","ERR3684630","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.20401",1135503,670,2140,99.6376026317244,"94.09","9.57"
"PHE160249A","27455_1#11","27455_1#11.Treponema.ds2500000-reads","ERR3684460","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7029800000000002E-2",1133059,13,598937,99.4231476273502,"100","0"
"PHE160253A","27455_2#18","27455_2#18.Treponema.ds2500000-reads","ERR3684499","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7737100000000003E-2",1133006,15,299267,99.4184970073699,"100","0"
"PHE160254A","27455_4#26","27455_4#26.Treponema.ds2500000-reads","ERR3684589","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.17064199999999999",1133768,703,1961,99.48536063803,"94.8","12.2"
"PHE160255A","27455_1#12","27455_1#12.Treponema.ds2500000-reads","ERR3684461","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","7.6737799999999995E-2",1146421,327,5557,100.595630347665,"97.1","3.17"
"PHE160256A","27455_3#20","27455_3#20.Treponema.ds2500000-reads","ERR3684538","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.6329799999999997E-2",1138410,113,16199,99.8926847502661,"99.19","2.4500000000000002"
"PHE160259A","27455_2#19","27455_2#19.Treponema.ds2500000-reads","ERR3684500","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.9269199999999997E-2",1134428,23,155436,99.5432740189166,"100","0"
"PHE160260A","27455_5#23","27455_5#23.Treponema.ds2500000-reads","ERR3684631","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.14705599999999999",1141625,610,2421,100.174793113222,"96.51","9.15"
"PHE160262A","27455_2#20","27455_2#20.Treponema.ds2500000-reads","ERR3684501","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.9752700000000002E-2",1128874,23,187133,99.0559241440007,"99.97","0"
"PHE160263A","27455_1#13","27455_1#13.Treponema.ds1547402-reads","ERR3684462","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.16953599999999999",1132294,591,2556,99.3560207540498,"97.29","10.54"
"PHE160264A","27455_2#21","27455_2#21.Treponema.ds2500000-reads","ERR3684502","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.8390800000000003E-2",1133956,21,149875,99.501857176828,"99.97","0"
"PHE160265A","29007_3#5","29007_3#5.Treponema.ds2500000-reads","ERR4045387","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","8.9132799999999998E-2",1147998,266,7294,100.734008228965,"98.36","6.13"
"PHE160268A","27455_3#21","27455_3#21.Treponema.ds1948551-reads","ERR3684539","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.130607",1147860,365,4939,100.721899067507,"97.15","4.2300000000000004"
"PHE160271A","29007_3#17","29007_3#17.Treponema.ds2500000-reads","ERR4045396","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","8.6940799999999999E-2",1152947,405,3955,101.168270838068,"96.37","6.09"
"PHE160274A","27455_1#15","27455_1#15.Treponema.ds1811142-reads","ERR3684464","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.14066000000000001",1140178,517,2922,100.047822413005,"94.46","7.19"
"PHE160276A","29007_2#7","29007_2#7.Treponema.ds2500000-reads","ERR4045379","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.13281899999999999",1154151,353,4999,101.273918884413,"97.1","4.6399999999999997"
"PHE160277A","27455_3#22","27455_3#22.Treponema.ds2500000-reads","ERR3684540","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.3382200000000003E-2",1134542,73,31468,99.5532772392516,"99.17","2.02"
"PHE160280A","27455_2#23","27455_2#23.Treponema.ds2500000-reads","ERR3684504","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.1291899999999999E-2",1132614,54,41929,99.3840999690251,"99.97","0"
"PHE160283A","27455_1#16","27455_1#16.Treponema.ds1926466-reads","ERR3684465","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","6","6","reads","0.12761500000000001",1137680,420,3946,99.8286290411036,"94.73","5.83"
"PHE160287A","27455_1#18","27455_1#18.Treponema.ds2379833-reads","ERR3684467","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","7.7746099999999999E-2",1141256,223,7566,100.142414268453,"99.57","1.1200000000000001"
"PHE160290A","29007_2#8","29007_2#8.Treponema.ds2500000-reads","ERR4045380","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","8.1620300000000007E-2",1140156,160,13112,100.045891966975,"99.19","0.65"
"PHE160292A","27455_4#29","27455_4#29.Treponema.ds2458436-reads","ERR3684592","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.16800000000000001",1131010,553,2616,99.2433529039612,"97.55","8.1199999999999992"
"PHE160294A","27455_1#19","27455_1#19.Treponema.ds1356696-reads","ERR3684468","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.24876699999999999",1104425,674,2026,96.9105843723374,"94.44","8.6999999999999993"
"PHE160295A","29007_3#7","29007_3#7.Treponema.ds2500000-reads","ERR4045389","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.123219",1148448,319,5321,100.773494625024,"98.5","3"
"PHE160298A","27455_2#26","27455_2#26.Treponema.ds2500000-reads","ERR3684507","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7322000000000001E-2",1133146,15,598781,99.4307816639216,"100","0"
"PHE160299A","27455_3#24","27455_3#24.Treponema.ds2500000-reads","ERR3684542","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.18141E-2",1130367,43,59743,99.1869312313701,"100","0"
"PHE160300A","27455_3#25","27455_3#25.Treponema.ds1917036-reads","ERR3684543","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.116024",1149695,472,3300,100.882915815881,"95.14","10.81"
"PHE160301A","27455_3#26","27455_3#26.Treponema.ds2195280-reads","ERR3684544","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.128049",1154214,554,2717,101.279446979861,"95.94","6.76"
"PHE160302A","29007_2#2","29007_2#2.Treponema.ds2500000-reads","ERR4045377","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.17845900000000001",1145636,538,2801,100.526748523428,"94.44","10.98"
"PHE160306A","29007_2#9","29007_2#9.Treponema.ds2500000-reads","ERR4045381","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","9.36477E-2",1144058,213,8882,100.388282894581,"97.98","4.34"
"PHE160308A","27455_4#30","27455_4#30.Treponema.ds2041608-reads","ERR3684593","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.231793",1104780,729,1948,96.9417347514507,"92.74","14.66"
"PHE160309A","27455_3#29","27455_3#29.Treponema.ds2256813-reads","ERR3684547","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.5654899999999997E-2",1145566,230,7568,100.520606195152,"97.96","1.71"
"PHE160311A","27455_5#31","27455_5#31.Treponema.ds2500000-reads","ERR3684639","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.200902",1126093,684,2076,98.8118982163556,"94.17","8.7200000000000006"
"PHE160312A","27455_2#28","27455_2#28.Treponema.ds2500000-reads","ERR3684509","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.9572900000000001E-2",1128729,21,114658,99.043200749715,"100","0"
"PHE160315A","27455_2#29","27455_2#29.Treponema.ds2500000-reads","ERR3684510","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.1733300000000001E-2",1138025,38,90130,99.8589019447489,"99.97","2.42"
"PHE160316A","27455_1#20","27455_1#20.Treponema.ds2500000-reads","ERR3684469","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","5.5893900000000003E-2",1139263,134,13064,99.9675334076848,"99.6","2.42"
"PHE160317A","27455_1#21","27455_1#21.Treponema.ds2500000-reads","ERR3684470","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","6.0512400000000001E-2",1144014,223,8303,100.384422002522,"97.96","3.17"
"PHE160602A","29007_3#10","29007_3#10.Treponema.ds2500000-reads","ERR4045392","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.5967300000000001E-2",1152993,316,5520,101.172307225221,"96.75","6.25"
"PHE170319A","29007_3#18","29007_3#18.Treponema.ds2500000-reads","ERR4045397","TPA","2017","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.7362600000000004E-2",1151402,317,4938,101.032700878265,"97.15","4.46"
