accession	product_length	mismatch_forward	mismatch_reverse	forward_start	forward_stop	reverse_start	reverse_stop	product_start	product_stop	taxId	subspecies	superkingdom	phylum	class	order	family	genus	species	amplicon	region.cluster
CP073458.2	618	0	0	375381	375402	375998	375977	375381	375998	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073457.2	618	0	0	375343	375364	375960	375939	375343	375960	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073455.2	618	0	0	375380	375401	375997	375976	375380	375997	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073454.2	618	0	0	375436	375457	376053	376032	375436	376053	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073453.2	618	0	0	375430	375451	376047	376026	375430	376047	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073452.2	618	0	0	375436	375457	376053	376032	375436	376053	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073451.2	618	0	0	375438	375459	376055	376034	375438	376055	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073450.2	618	0	0	375367	375388	375984	375963	375367	375984	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073449.2	618	0	0	375440	375461	376057	376036	375440	376057	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073443.2	618	0	0	375433	375454	376050	376029	375433	376050	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073442.2	618	0	0	375437	375458	376054	376033	375437	376054	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073440.2	618	0	0	375376	375397	375993	375972	375376	375993	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073438.2	618	0	0	375382	375403	375999	375978	375382	375999	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073437.2	618	0	0	375380	375401	375997	375976	375380	375997	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073436.2	618	0	0	375379	375400	375996	375975	375379	375996	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073435.2	618	0	0	375381	375402	375998	375977	375381	375998	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073434.2	618	0	0	375379	375400	375996	375975	375379	375996	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073433.2	618	0	0	375428	375449	376045	376024	375428	376045	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073431.2	618	0	0	375374	375395	375991	375970	375374	375991	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073430.2	618	0	0	375371	375392	375988	375967	375371	375988	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073404.2	618	0	0	375382	375403	375999	375978	375382	375999	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073428.2	618	0	0	375338	375359	375955	375934	375338	375955	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073426.2	618	0	0	375375	375396	375992	375971	375375	375992	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073425.2	618	0	0	375383	375404	376000	375979	375383	376000	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073424.2	618	0	0	375380	375401	375997	375976	375380	375997	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073423.2	618	0	0	375381	375402	375998	375977	375381	375998	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073421.2	618	0	0	375435	375456	376052	376031	375435	376052	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073420.2	618	0	0	375380	375401	375997	375976	375380	375997	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073418.2	618	0	0	375309	375330	375926	375905	375309	375926	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073417.2	618	0	0	375373	375394	375990	375969	375373	375990	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073415.2	618	0	0	375378	375399	375995	375974	375378	375995	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073414.2	618	0	0	375301	375322	375918	375897	375301	375918	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073413.2	618	0	0	375375	375396	375992	375971	375375	375992	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073412.2	618	0	0	375286	375307	375903	375882	375286	375903	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073411.2	618	0	0	375343	375364	375960	375939	375343	375960	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073410.2	618	0	0	375436	375457	376053	376032	375436	376053	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073409.2	618	0	0	375377	375398	375994	375973	375377	375994	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073408.2	618	0	0	375375	375396	375992	375971	375375	375992	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073407.2	618	0	0	375437	375458	376054	376033	375437	376054	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073406.2	618	0	0	375285	375306	375902	375881	375285	375902	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073405.2	618	0	0	375437	375458	376054	376033	375437	376054	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073403.2	618	0	0	375381	375402	375998	375977	375381	375998	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073402.2	618	0	0	375432	375453	376049	376028	375432	376049	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073401.2	618	0	0	375371	375392	375988	375967	375371	375988	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073399.2	618	0	0	375433	375454	376050	376029	375433	376050	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073397.2	618	0	0	375433	375454	376050	376029	375433	376050	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073396.2	618	0	0	375429	375450	376046	376025	375429	376046	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073390.2	618	0	0	375449	375470	376066	376045	375449	376066	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073389.2	618	0	0	375378	375399	375995	375974	375378	375995	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073388.2	618	0	0	375425	375446	376042	376021	375425	376042	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073387.2	618	0	0	375383	375404	376000	375979	375383	376000	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073386.2	618	0	0	375377	375398	375994	375973	375377	375994	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073385.2	618	0	0	375382	375403	375999	375978	375382	375999	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073383.2	618	0	0	375338	375359	375955	375934	375338	375955	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073382.2	618	0	0	375437	375458	376054	376033	375437	376054	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073381.2	618	0	0	375434	375455	376051	376030	375434	376051	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073534.1	618	0	0	375352	375373	375969	375948	375352	375969	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073523.1	618	0	0	375903	375924	376520	376499	375903	376520	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073522.1	618	0	0	375898	375919	376515	376494	375898	376515	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073518.1	618	0	0	375898	375919	376515	376494	375898	376515	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073517.1	618	0	0	375343	375364	375960	375939	375343	375960	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073506.1	618	0	0	375899	375920	376516	376495	375899	376516	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073505.1	618	0	0	375348	375369	375965	375944	375348	375965	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073485.1	618	0	0	375245	375266	375862	375841	375245	375862	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073487.1	618	0	0	374797	374818	375414	375393	374797	375414	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073484.1	618	0	0	375348	375369	375965	375944	375348	375965	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073483.1	618	0	0	375341	375362	375958	375937	375341	375958	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073478.1	618	0	0	375347	375368	375964	375943	375347	375964	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073475.1	618	0	0	375170	375191	375787	375766	375170	375787	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073466.1	618	0	0	376279	376300	376896	376875	376279	376896	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073464.1	618	0	0	375319	375340	375936	375915	375319	375936	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073461.1	618	0	0	375439	375460	376056	376035	375439	376056	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073462.1	618	0	0	375281	375302	375898	375877	375281	375898	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073460.1	618	0	0	375309	375330	375926	375905	375309	375926	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073459.1	618	0	0	375304	375325	375921	375900	375304	375921	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073456.1	618	0	0	375313	375334	375930	375909	375313	375930	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073448.1	618	0	0	375266	375287	375883	375862	375266	375883	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073439.1	618	0	0	375378	375399	375995	375974	375378	375995	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073447.1	618	0	0	375376	375397	375993	375972	375376	375993	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073446.1	618	0	0	375378	375399	375995	375974	375378	375995	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073432.1	618	0	0	375375	375396	375992	375971	375375	375992	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073427.1	618	0	0	375380	375401	375997	375976	375380	375997	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073422.1	618	0	0	375383	375404	376000	375979	375383	376000	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073419.1	618	0	0	375370	375391	375987	375966	375370	375987	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073400.1	618	0	0	375378	375399	375995	375974	375378	375995	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073398.1	618	0	0	375336	375357	375953	375932	375336	375953	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073395.1	618	0	0	375378	375399	375995	375974	375378	375995	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073444.1	618	0	0	375317	375338	375934	375913	375317	375934	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073441.1	618	0	0	375220	375241	375837	375816	375220	375837	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073445.1	618	0	0	375375	375396	375992	375971	375375	375992	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073393.1	618	0	0	375375	375396	375992	375971	375375	375992	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073394.1	618	0	0	375319	375340	375936	375915	375319	375936	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073392.1	618	0	0	375379	375400	375996	375975	375379	375996	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073391.1	618	0	0	375374	375395	375991	375970	375374	375991	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073416.1	618	0	0	375376	375397	375993	375972	375376	375993	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073384.1	618	0	0	375315	375336	375932	375911	375315	375932	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP073566.1	618	0	0	375351	375372	375968	375947	375351	375968	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP051890.1	618	0	0	375316	375337	375933	375912	375316	375933	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP051889.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP051887.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP051886.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP051885.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP045004.1	618	0	0	375349	375370	375966	375945	375349	375966	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP045005.1	618	0	0	375350	375371	375967	375946	375350	375967	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP040555.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP035193.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP035104.1	618	0	0	375351	375372	375968	375947	375351	375968	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034913.1	618	0	0	375351	375372	375968	375947	375351	375968	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034912.1	618	0	0	375351	375372	375968	375947	375351	375968	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034914.1	618	0	0	375316	375337	375933	375912	375316	375933	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034915.1	618	0	0	375353	375374	375970	375949	375353	375970	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034916.1	618	0	0	375351	375372	375968	375947	375351	375968	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034917.1	618	0	0	375315	375336	375932	375911	375315	375932	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034972.1	618	0	0	375307	375328	375924	375903	375307	375924	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034918.1	618	0	0	375313	375334	375930	375909	375313	375930	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034919.1	618	0	0	375319	375340	375936	375915	375319	375936	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034920.1	618	0	0	375353	375374	375970	375949	375353	375970	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP034921.1	618	0	0	375351	375372	375968	375947	375351	375968	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP032303.1	618	0	0	373560	373581	374177	374156	373560	374177	53436	Treponema pallidum subsp. endemicum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP024750.1	618	0	0	375847	375868	376464	376443	375847	376464	168	Treponema pallidum subsp. pertenue	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP032623.1	618	0	0	375366	375387	375983	375962	375366	375983	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP024089.1	618	0	0	375856	375877	376473	376452	375856	376473	168	Treponema pallidum subsp. pertenue	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP024088.1	618	0	0	375860	375881	376477	376456	375860	376477	168	Treponema pallidum subsp. pertenue	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP021113.1	618	0	0	375853	375874	376470	376449	375853	376470	168	Treponema pallidum subsp. pertenue	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP028438.1	618	0	0	375355	375376	375972	375951	375355	375972	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP020365.1	618	0	0	375846	375867	376463	376442	375846	376463	168	Treponema pallidum subsp. pertenue	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP010422.1	618	0	0	375373	375394	375990	375969	375373	375990	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016048.1	618	0	0	375356	375377	375973	375952	375356	375973	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016046.1	618	0	0	375354	375375	375971	375950	375354	375971	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016069.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016068.1	618	0	0	375358	375379	375975	375954	375358	375975	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016067.1	618	0	0	375347	375368	375964	375943	375347	375964	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016066.1	618	0	0	375353	375374	375970	375949	375353	375970	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016065.1	618	0	0	375355	375376	375972	375951	375355	375972	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016064.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016063.1	618	0	0	375351	375372	375968	375947	375351	375968	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016062.1	618	0	0	375352	375373	375969	375948	375352	375969	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
CP016061.1	618	0	0	375346	375367	375963	375942	375346	375963	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_73	RC95
